n,x,y,r,theta,is_prime,prime_density,avg_prime_dist
2,5.0,0.0,5.0,0.0,1,6,2.3075771124183007
3,5.472522909029142,0.5490837915575548,5.5,0.1,1,6,1.8413408236258817
4,5.88039946704745,1.1920159847703673,6.0,0.2,0,6,1.0143620674616096
5,6.209687179316439,1.9208813432987073,6.5,0.30000000000000004,1,6,1.8476780108845923
6,6.447426958020196,2.725928396160554,7.0,0.4,0,6,1.3682302829012947
7,6.581869214177796,3.5956915395315225,7.5,0.5,1,6,2.9543105177489184
8,6.602684919277427,4.517139787160283,8.0,0.6,0,7,2.1846620487408934
9,6.501158591918152,5.475850341520374,8.5,0.7,0,7,2.500956310749045
10,6.27036038412449,6.456204818095705,9.0,0.7999999999999999,0,7,2.3993490071353816
11,5.905294698571312,7.441605641461091,9.5,0.8999999999999999,1,8,3.888312519949656
12,5.403023058681398,8.414709848078964,10.0,0.9999999999999999,0,8,2.398661979225977
13,4.762759274968563,9.35767728064507,10.5,1.0999999999999999,1,8,4.4150825103584275
14,3.98593529924341,10.25242994563949,11.0,1.2,0,7,2.8002315592813107
15,3.0762365291827547,11.08091913229772,11.5,1.3,0,6,3.205057129810704
16,2.0396057148028897,11.825396759861523,12.0,1.4000000000000001,0,6,3.0288250944341946
17,0.8842150208462836,12.468687332550681,12.5,1.5000000000000002,1,5,4.952346243598174
18,-0.37959378991675746,12.994456839539566,13.0,1.6000000000000003,0,5,3.0275617485346227
19,-1.7394006729895886,13.387474941108326,13.5,1.7000000000000004,1,5,5.5050753242957695
20,-3.1808293257032254,13.63386683229473,14.0,1.8000000000000005,0,4,3.4474355254691957
21,-4.6876987195208075,13.721351271467507,14.5,1.9000000000000006,0,3,3.9446964678640373
22,-6.242202548207142,13.639461402385223,15.0,2.0000000000000004,0,3,4.445290898403598
23,-7.825114621297797,13.379745183057539,15.5,2.1000000000000005,1,3,8.430338821851317
24,-9.41601787608554,12.935942461113436,16.0,2.2000000000000006,0,3,6.071341163493918
25,-10.993554351117108,12.304136000915875,16.5,2.3000000000000007,0,3,6.629268037894515
26,-12.535693164201183,11.482874069369556,17.0,2.400000000000001,0,3,6.645371689466267
27,-14.020013272071349,10.473262521819226,17.5,2.500000000000001,0,3,6.059883387888668
28,-15.423997560641059,9.27902469278634,18.0,2.600000000000001,0,3,5.440994683264254
29,-16.72533462731564,7.906527784325837,18.5,2.700000000000001,1,2,10.109072032349887
30,-17.90222447270451,6.364774852962173,19.0,2.800000000000001,0,2,5.401967033821479
31,-18.93368422041702,4.665361919672632,19.5,2.9000000000000012,1,2,10.259746772955078
32,-19.79984993200891,2.822400161197318,20.0,3.0000000000000013,0,2,6.255965162400295
33,-20.48227058060223,0.8524035798824278,20.5,3.1000000000000014,0,3,6.957467188700352
34,-20.964190291689814,-1.2258570119792098,21.0,3.2000000000000015,0,2,7.655706647893833
35,-21.23081505304059,-3.391532424079874,21.5,3.3000000000000016,0,2,8.348402149999336
36,-21.26956023674813,-5.621904244590325,22.0,3.4000000000000017,0,1,8.195035797780891
37,-21.070275464042904,-7.892622623016484,22.5,3.5000000000000018,1,2,12.250343116595339
38,-20.625443575685363,-10.177970195781644,23.0,3.600000000000002,0,2,7.273662799452545
39,-19.93035074519457,-12.45114931134963,23.5,3.700000000000002,0,3,6.5077611705471226
40,-18.983225085945968,-14.684589382625298,24.0,3.800000000000002,0,3,5.708232334282347
